[29-Dec-2015 17:35:46 UTC] PHP Warning:  Phalcon\Loader::autoLoad(C:\sites\help_desk\app\controllers\ControllerBase.php): failed to open stream: Permission denied in C:\sites\help_desk\app\controllers\IndexController.php on line 5
[29-Dec-2015 17:35:46 UTC] PHP Fatal error:  Phalcon\Loader::autoLoad(): Failed opening required 'C:\sites\help_desk/app/controllers/ControllerBase.php' (include_path='.;C:\php\pear') in C:\sites\help_desk\app\controllers\IndexController.php on line 5
[29-Dec-2015 17:36:23 UTC] PHP Warning:  Phalcon\Loader::autoLoad(C:\sites\help_desk\app\controllers\ControllerBase.php): failed to open stream: Permission denied in C:\sites\help_desk\app\controllers\IndexController.php on line 5
[29-Dec-2015 17:36:23 UTC] PHP Fatal error:  Phalcon\Loader::autoLoad(): Failed opening required 'C:\sites\help_desk/app/controllers/ControllerBase.php' (include_path='.;C:\php\pear') in C:\sites\help_desk\app\controllers\IndexController.php on line 5
[29-Dec-2015 17:36:51 UTC] PHP Fatal error:  Call to a member function getName() on null in C:\sites\help_desk\app\controllers\ControllerBase.php on line 11
[29-Dec-2015 17:37:53 UTC] PHP Fatal error:  Call to a member function getName() on null in C:\sites\help_desk\app\controllers\ControllerBase.php on line 11
[29-Dec-2015 17:38:00 UTC] PHP Parse error:  syntax error, unexpected ')' in C:\sites\help_desk\app\controllers\ControllerBase.php on line 15
[29-Dec-2015 17:38:39 UTC] PHP Fatal error:  Call to a member function getName() on null in C:\sites\help_desk\app\controllers\ControllerBase.php on line 15
[29-Dec-2015 17:38:43 UTC] PHP Fatal error:  Call to a member function getName() on null in C:\sites\help_desk\app\controllers\ControllerBase.php on line 15
[29-Dec-2015 17:39:26 UTC] PHP Fatal error:  Call to a member function getName() on null in C:\sites\help_desk\app\controllers\ControllerBase.php on line 15
[29-Dec-2015 17:39:31 UTC] PHP Fatal error:  Call to a member function getName() on null in C:\sites\help_desk\app\controllers\ControllerBase.php on line 15
[29-Dec-2015 17:39:33 UTC] PHP Fatal error:  Call to a member function getName() on null in C:\sites\help_desk\app\controllers\ControllerBase.php on line 15
[29-Dec-2015 17:39:35 UTC] PHP Fatal error:  Call to a member function getName() on null in C:\sites\help_desk\app\controllers\ControllerBase.php on line 15
[29-Dec-2015 17:39:38 UTC] PHP Fatal error:  Call to a member function getName() on null in C:\sites\help_desk\app\controllers\ControllerBase.php on line 15
[29-Dec-2015 17:39:58 UTC] PHP Fatal error:  Call to a member function getName() on null in C:\sites\help_desk\app\controllers\ControllerBase.php on line 15
[29-Dec-2015 17:41:36 UTC] PHP Fatal error:  Call to a member function getName() on null in C:\sites\help_desk\app\controllers\ControllerBase.php on line 15
[29-Dec-2015 17:41:41 UTC] PHP Fatal error:  Call to a member function getName() on null in C:\sites\help_desk\app\controllers\ControllerBase.php on line 15
[29-Dec-2015 17:41:50 UTC] PHP Fatal error:  Call to a member function getName() on null in C:\sites\help_desk\app\controllers\ControllerBase.php on line 15
[29-Dec-2015 17:43:05 UTC] PHP Fatal error:  Call to a member function getName() on null in C:\sites\help_desk\app\controllers\ControllerBase.php on line 15
[29-Dec-2015 17:43:09 UTC] PHP Warning:  strtotime(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in C:\sites\help_desk\app\models\Chamado.php on line 63
[29-Dec-2015 17:43:09 UTC] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in C:\sites\help_desk\app\models\Chamado.php on line 63
[29-Dec-2015 17:43:09 UTC] PHP Warning:  strtotime(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in C:\sites\help_desk\app\models\Chamado.php on line 63
[29-Dec-2015 17:43:09 UTC] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in C:\sites\help_desk\app\models\Chamado.php on line 63
[29-Dec-2015 17:43:09 UTC] PHP Warning:  strtotime(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in C:\sites\help_desk\app\models\Chamado.php on line 63
[29-Dec-2015 17:43:09 UTC] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in C:\sites\help_desk\app\models\Chamado.php on line 63
[29-Dec-2015 17:43:09 UTC] PHP Warning:  strtotime(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in C:\sites\help_desk\app\models\Chamado.php on line 63
[29-Dec-2015 17:43:09 UTC] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in C:\sites\help_desk\app\models\Chamado.php on line 63
[29-Dec-2015 17:43:12 UTC] PHP Fatal error:  Call to a member function getName() on null in C:\sites\help_desk\app\controllers\ControllerBase.php on line 12
[29-Dec-2015 17:43:15 UTC] PHP Fatal error:  Call to a member function getName() on null in C:\sites\help_desk\app\controllers\ControllerBase.php on line 12
[29-Dec-2015 17:43:15 UTC] PHP Fatal error:  Call to a member function getName() on null in C:\sites\help_desk\app\controllers\ControllerBase.php on line 12
[29-Dec-2015 17:43:17 UTC] PHP Warning:  strtotime(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in C:\sites\help_desk\app\models\Chamado.php on line 63
[29-Dec-2015 17:43:17 UTC] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in C:\sites\help_desk\app\models\Chamado.php on line 63
[29-Dec-2015 17:43:17 UTC] PHP Warning:  strtotime(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in C:\sites\help_desk\app\models\Chamado.php on line 63
[29-Dec-2015 17:43:17 UTC] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in C:\sites\help_desk\app\models\Chamado.php on line 63
[29-Dec-2015 17:43:17 UTC] PHP Warning:  strtotime(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in C:\sites\help_desk\app\models\Chamado.php on line 63
[29-Dec-2015 17:43:17 UTC] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in C:\sites\help_desk\app\models\Chamado.php on line 63
[29-Dec-2015 17:43:17 UTC] PHP Warning:  strtotime(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in C:\sites\help_desk\app\models\Chamado.php on line 63
[29-Dec-2015 17:43:17 UTC] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in C:\sites\help_desk\app\models\Chamado.php on line 63
[29-Dec-2015 17:43:17 UTC] PHP Fatal error:  Call to a member function getName() on null in C:\sites\help_desk\app\controllers\ControllerBase.php on line 12
[29-Dec-2015 17:43:19 UTC] PHP Fatal error:  Call to a member function getName() on null in C:\sites\help_desk\app\controllers\ControllerBase.php on line 12
[29-Dec-2015 17:43:19 UTC] PHP Fatal error:  Call to a member function getName() on null in C:\sites\help_desk\app\controllers\ControllerBase.php on line 12
[29-Dec-2015 17:43:37 UTC] PHP Warning:  strtotime(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in C:\sites\help_desk\app\models\Chamado.php on line 63
[29-Dec-2015 17:43:37 UTC] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in C:\sites\help_desk\app\models\Chamado.php on line 63
